Attribute     Value
type          IPv6
string        2001:db8::4/64
host          2001:db8::4
address       2001:db8::4
port          0
netmask       ffff:ffff:ffff:ffff::
network       2001:db8::
mask_bits     64
binary        00100000000000010000110110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
hex           20010db8000000000000000000000004
first_usable  2001:db8::
last_usable   2001:db8::ffff:ffff:ffff:ffff
octets        32 1 13 184 0 0 0 0 0 0 0 0 0 0 0 4
size          18446744073709551616
uint128       42540766411282592856903984951653826564
DialPacket    "udp6" ""
DialStream    "tcp6" ""
ListenPacket  "udp6" ""
ListenStream  "tcp6" ""
