Attribute     Value
type          IPv4
string        127.0.0.1
host          127.0.0.1
address       127.0.0.1
port          0
netmask       255.255.255.255
network       127.0.0.1
mask_bits     32
binary        01111111000000000000000000000001
hex           7f000001
first_usable  127.0.0.1
last_usable   127.0.0.1
octets        127 0 0 1
size          1
broadcast     127.0.0.1
uint32        2130706433
DialPacket    "udp4" ""
DialStream    "tcp4" ""
ListenPacket  "udp4" "127.0.0.1:0"
ListenStream  "tcp4" "127.0.0.1:0"
